+-----------------+-------------+----------------+------------------+
| Количество эпох | Размер окна | Норма обучения | Суммарная ошибка |
|      14000      |      3      |      0.15      |      0.789       |
|      14000      |      3      |      0.2       |      0.4249      |
|      14000      |      3      |      0.25      |      0.1599      |
|      14000      |      3      |      0.3       |      0.1366      |
|      14000      |      3      |      0.35      |      0.0485      |
|      14000      |      3      |      0.4       |      0.0551      |
|      14000      |      3      |      0.45      |      0.0454      |
|      14000      |      3      |      0.5       |      0.0272      |
|      14000      |      3      |      0.55      |      0.012       |
|      14000      |      3      |      0.6       |      0.0181      |
|      14000      |      3      |      0.65      |      0.0156      |
|      14000      |      3      |      0.7       |      0.0089      |
|      14000      |      3      |      0.75      |      0.0097      |
|      14000      |      3      |      0.8       |      0.0102      |
|      14000      |      3      |      0.85      |      0.0081      |
|      14000      |      3      |      0.9       |       0.01       |
|      14000      |      3      |      0.95      |      0.0075      |
|      14000      |      4      |      0.05      |      1.6059      |
|      14000      |      4      |      0.1       |      0.3413      |
|      14000      |      4      |      0.15      |      0.0634      |
|      14000      |      4      |      0.2       |      0.0133      |
|      14000      |      4      |      0.25      |      0.0058      |
|      14000      |      4      |      0.3       |      0.0015      |
|      14000      |      4      |      0.35      |      0.0009      |
|      14000      |      4      |      0.4       |      0.0004      |
|      14000      |      4      |      0.45      |      0.0002      |
|      14000      |      4      |      0.5       |      0.0001      |
|      14000      |      4      |      0.55      |      0.0001      |
|      14000      |      4      |      0.6       |      0.0001      |
|      14000      |      4      |      0.65      |      0.0001      |
|      14000      |      4      |      0.7       |       0.0        |
|      14000      |      4      |      0.75      |       0.0        |
|      14000      |      4      |      0.8       |       0.0        |
|      14000      |      4      |      0.85      |       0.0        |
|      14000      |      4      |      0.9       |       0.0        |
|      14000      |      4      |      0.95      |       0.0        |
|      14000      |      5      |      0.05      |      1.0407      |
|      14000      |      5      |      0.1       |      0.0842      |
|      14000      |      5      |      0.15      |      0.0071      |
|      14000      |      5      |      0.2       |      0.001       |
|      14000      |      5      |      0.25      |      0.0001      |
|      14000      |      5      |      0.3       |       0.0        |
|      14000      |      5      |      0.35      |       0.0        |
|      14000      |      5      |      0.4       |       0.0        |
|      14000      |      5      |      0.45      |       0.0        |
|      14000      |      5      |      0.5       |       0.0        |
|      14000      |      5      |      0.55      |       0.0        |
|      14000      |      5      |      0.6       |       0.0        |
|      14000      |      5      |      0.65      |       0.0        |
|      14000      |      5      |      0.7       |       0.0        |
|      14000      |      5      |      0.75      |       0.0        |
|      14000      |      5      |      0.8       |       0.0        |
|      14000      |      5      |      0.85      |       0.0        |
|      14000      |      5      |      0.9       |       0.0        |
|      14000      |      5      |      0.95      |       0.0        |
|      14000      |      6      |      0.05      |      0.7542      |
|      14000      |      6      |      0.1       |      0.0201      |
|      14000      |      6      |      0.15      |      0.0018      |
|      14000      |      6      |      0.2       |      0.0001      |
|      14000      |      6      |      0.25      |       0.0        |
|      14000      |      6      |      0.3       |       0.0        |
|      14000      |      6      |      0.35      |       0.0        |
|      14000      |      6      |      0.4       |       0.0        |
|      14000      |      6      |      0.45      |       0.0        |
|      14000      |      6      |      0.5       |       0.0        |
|      14000      |      6      |      0.55      |       0.0        |
|      14000      |      6      |      0.6       |       0.0        |
|      14000      |      6      |      0.65      |       0.0        |
|      14000      |      6      |      0.7       |       0.0        |
|      14000      |      6      |      0.75      |       0.0        |
|      14000      |      6      |      0.8       |       0.0        |
|      14000      |      6      |      0.85      |       0.0        |
|      14000      |      6      |      0.9       |       0.0        |
|      14000      |      6      |      0.95      |       0.0        |
|      14000      |      7      |      0.05      |      0.4164      |
|      14000      |      7      |      0.1       |      0.0067      |
|      14000      |      7      |      0.15      |      0.0005      |
|      14000      |      7      |      0.2       |       0.0        |
|      14000      |      7      |      0.25      |       0.0        |
|      14000      |      7      |      0.3       |       0.0        |
|      14000      |      7      |      0.35      |       0.0        |
|      14000      |      7      |      0.4       |       0.0        |
